[2025-07-21 10:58:12.803] Query: BBOX(56.2695,56.4695,61.35,61.55), Zoom: 12, Rows: 1000, SQL Time: 143ms, Total Time: 151ms
[2025-07-21 10:58:12.954] Query: BBOX(56.2695,56.4695,61.3545,61.5545), Zoom: 12, Rows: 1000, SQL Time: 139ms, Total Time: 143ms
[2025-07-21 10:58:13.048] Query: BBOX(56.2695,56.4695,61.3983,61.5983), Zoom: 12, Rows: 1000, SQL Time: 80ms, Total Time: 86ms
[2025-07-21 10:58:13.121] Query: BBOX(56.2695,56.4695,61.4689,61.6689), Zoom: 12, Rows: 1000, SQL Time: 61ms, Total Time: 66ms
[2025-07-21 10:58:13.168] Query: BBOX(56.2695,56.4695,61.5127,61.7127), Zoom: 12, Rows: 1000, SQL Time: 34ms, Total Time: 38ms
[2025-07-21 10:58:13.212] Query: BBOX(56.2695,56.4695,61.5505,61.7505), Zoom: 12, Rows: 1000, SQL Time: 33ms, Total Time: 36ms
[2025-07-21 10:58:13.259] Query: BBOX(56.2695,56.4695,61.587,61.787), Zoom: 12, Rows: 1000, SQL Time: 36ms, Total Time: 39ms
[2025-07-21 10:58:13.304] Query: BBOX(56.2692,56.4692,61.6183,61.8183), Zoom: 12, Rows: 1000, SQL Time: 32ms, Total Time: 37ms
[2025-07-21 10:58:13.340] Query: BBOX(56.2692,56.4692,61.6557,61.8557), Zoom: 12, Rows: 1000, SQL Time: 24ms, Total Time: 29ms
[2025-07-21 10:58:13.372] Query: BBOX(56.2692,56.4692,61.6817,61.8817), Zoom: 12, Rows: 1000, SQL Time: 20ms, Total Time: 23ms
[2025-07-21 10:58:13.400] Query: BBOX(56.2692,56.4692,61.695,61.895), Zoom: 12, Rows: 1000, SQL Time: 17ms, Total Time: 20ms
[2025-07-21 10:58:13.428] Query: BBOX(56.2692,56.4692,61.6992,61.8993), Zoom: 12, Rows: 1000, SQL Time: 16ms, Total Time: 19ms
[2025-07-21 10:58:13.453] Query: BBOX(56.2692,56.4692,61.6995,61.8995), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 18ms
[2025-07-21 10:58:14.031] Query: BBOX(56.2692,56.4692,61.6997,61.8997), Zoom: 12, Rows: 1000, SQL Time: 45ms, Total Time: 58ms
[2025-07-21 10:58:14.056] Query: BBOX(56.2692,56.4692,61.7093,61.9093), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 17ms
[2025-07-21 10:58:14.081] Query: BBOX(56.2692,56.4692,61.7213,61.9213), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 16ms
[2025-07-21 10:58:14.105] Query: BBOX(56.2692,56.4692,61.7388,61.9388), Zoom: 12, Rows: 1000, SQL Time: 11ms, Total Time: 16ms
[2025-07-21 10:58:14.129] Query: BBOX(56.2692,56.4692,61.7599,61.9599), Zoom: 12, Rows: 1000, SQL Time: 11ms, Total Time: 16ms
[2025-07-21 10:58:14.154] Query: BBOX(56.2692,56.4692,61.7828,61.9828), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:14.179] Query: BBOX(56.2692,56.4692,61.8026,62.0026), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 16ms
[2025-07-21 10:58:14.203] Query: BBOX(56.2692,56.4692,61.8175,62.0175), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 16ms
[2025-07-21 10:58:14.228] Query: BBOX(56.2692,56.4692,61.828,62.028), Zoom: 12, Rows: 1000, SQL Time: 10ms, Total Time: 16ms
[2025-07-21 10:58:14.251] Query: BBOX(56.2692,56.4692,61.838,62.038), Zoom: 12, Rows: 1000, SQL Time: 11ms, Total Time: 16ms
[2025-07-21 10:58:14.276] Query: BBOX(56.2692,56.4692,61.8466,62.0466), Zoom: 12, Rows: 1000, SQL Time: 11ms, Total Time: 16ms
[2025-07-21 10:58:14.299] Query: BBOX(56.2692,56.4692,61.8604,62.0604), Zoom: 12, Rows: 1000, SQL Time: 11ms, Total Time: 15ms
[2025-07-21 10:58:14.323] Query: BBOX(56.2692,56.4692,61.8702,62.0702), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 16ms
[2025-07-21 10:58:14.348] Query: BBOX(56.2692,56.4692,61.8864,62.0864), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 16ms
[2025-07-21 10:58:14.373] Query: BBOX(56.2692,56.4692,61.9078,62.1078), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 18ms
[2025-07-21 10:58:14.398] Query: BBOX(56.2692,56.4692,61.9227,62.1227), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:14.424] Query: BBOX(56.2692,56.4692,61.9331,62.1331), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 17ms
[2025-07-21 10:58:14.456] Query: BBOX(56.2692,56.4692,61.94,62.14), Zoom: 12, Rows: 1000, SQL Time: 19ms, Total Time: 25ms
[2025-07-21 10:58:14.487] Query: BBOX(56.2696,56.4696,61.9456,62.1456), Zoom: 12, Rows: 1000, SQL Time: 19ms, Total Time: 23ms
[2025-07-21 10:58:15.221] Query: BBOX(56.2696,56.4696,61.9464,62.1464), Zoom: 12, Rows: 1000, SQL Time: 50ms, Total Time: 63ms
[2025-07-21 10:58:15.278] Query: BBOX(56.2696,56.4696,61.9918,62.1918), Zoom: 12, Rows: 1000, SQL Time: 44ms, Total Time: 48ms
[2025-07-21 10:58:15.429] Query: BBOX(56.2696,56.4696,62.0356,62.2356), Zoom: 12, Rows: 1000, SQL Time: 139ms, Total Time: 143ms
[2025-07-21 10:58:15.578] Query: BBOX(56.2696,56.4696,62.0881,62.2881), Zoom: 12, Rows: 1000, SQL Time: 136ms, Total Time: 140ms
[2025-07-21 10:58:15.724] Query: BBOX(56.2696,56.4696,62.1699,62.3699), Zoom: 12, Rows: 1000, SQL Time: 134ms, Total Time: 138ms
[2025-07-21 10:58:15.869] Query: BBOX(56.2696,56.4696,62.2308,62.4308), Zoom: 12, Rows: 1000, SQL Time: 133ms, Total Time: 137ms
[2025-07-21 10:58:16.015] Query: BBOX(56.2696,56.4696,62.2314,62.4314), Zoom: 12, Rows: 1000, SQL Time: 135ms, Total Time: 138ms
[2025-07-21 10:58:16.962] Query: BBOX(56.2696,56.4696,62.2312,62.4312), Zoom: 12, Rows: 1000, SQL Time: 168ms, Total Time: 181ms
[2025-07-21 10:58:17.107] Query: BBOX(56.2704,56.4704,62.2239,62.4239), Zoom: 12, Rows: 1000, SQL Time: 132ms, Total Time: 136ms
[2025-07-21 10:58:17.594] Query: BBOX(56.2702,56.4702,62.2243,62.4243), Zoom: 12, Rows: 1000, SQL Time: 170ms, Total Time: 182ms
[2025-07-21 10:58:17.741] Query: BBOX(56.2657,56.4657,62.2397,62.4397), Zoom: 12, Rows: 1000, SQL Time: 134ms, Total Time: 137ms
[2025-07-21 10:58:17.885] Query: BBOX(56.26,56.46,62.253,62.453), Zoom: 12, Rows: 1000, SQL Time: 132ms, Total Time: 137ms
[2025-07-21 10:58:18.029] Query: BBOX(56.2535,56.4535,62.2637,62.4637), Zoom: 12, Rows: 1000, SQL Time: 132ms, Total Time: 135ms
[2025-07-21 10:58:18.173] Query: BBOX(56.2492,56.4492,62.2668,62.4668), Zoom: 12, Rows: 1000, SQL Time: 132ms, Total Time: 136ms
[2025-07-21 10:58:18.320] Query: BBOX(56.244,56.444,62.2692,62.4692), Zoom: 12, Rows: 1000, SQL Time: 134ms, Total Time: 137ms
[2025-07-21 10:58:18.468] Query: BBOX(56.237,56.437,62.2717,62.4717), Zoom: 12, Rows: 1000, SQL Time: 134ms, Total Time: 139ms
[2025-07-21 10:58:18.613] Query: BBOX(56.2265,56.4265,62.2739,62.4739), Zoom: 12, Rows: 1000, SQL Time: 132ms, Total Time: 137ms
[2025-07-21 10:58:18.757] Query: BBOX(56.2215,56.4215,62.2752,62.4752), Zoom: 12, Rows: 1000, SQL Time: 133ms, Total Time: 136ms
[2025-07-21 10:58:18.901] Query: BBOX(56.221,56.421,62.2752,62.4752), Zoom: 12, Rows: 1000, SQL Time: 131ms, Total Time: 135ms
[2025-07-21 10:58:19.445] Query: BBOX(56.2211,56.4211,62.2754,62.4754), Zoom: 12, Rows: 1000, SQL Time: 163ms, Total Time: 175ms
